Frequency,Keefe,Werner
198.43,0.628127287,NA
250,0.705495386,NA
281,NA,0.733037158
314.98,0.843473781,NA
364,NA,0.968274545
396.85,1.109511838,NA
458,NA,1.184834176
500,1.337791027,NA
578,NA,1.438002037
629.96,1.515224927,NA
728,NA,1.724442896
793.7,1.752727903,NA
917,NA,2.122299479
1000,2.133286423,NA
1155,NA,2.720181205
1259.92,2.838076039,NA
1455,NA,3.414718004
1587.4,3.824870385,NA
1834,NA,4.441037762
2000,4.842782726,NA
2311,NA,4.851092721
2519.84,4.567237908,NA
2911,NA,4.113372397
3174.8,4.893368244,NA
3668,NA,6.396305555
4000,5.957157438,NA
4622,NA,6.196634614
5039.68,6.581715549,NA
5823,NA,7.69407241
6349.6,9.07687689,NA
7336,NA,6.044315212
8000,6.407083425,NA
