Frequency,Keefe,Werner
198.43,72.70862438,NA
250,70.6841127,NA
281,NA,72.35413275
314.98,71.70038664,NA
364,NA,69.88166659
396.85,62.52040678,NA
458,NA,67.09120058
500,59.99428853,NA
578,NA,62.0526997
629.96,55.93351969,NA
728,NA,55.77857865
793.7,52.036374,NA
917,NA,54.16618062
1000,52.87222754,NA
1155,NA,47.37562117
1259.92,49.95887854,NA
1455,NA,37.6615184
1587.4,38.33667211,NA
1834,NA,23.60621156
2000,18.20144851,NA
2311,NA,-3.521026573
2519.84,-2.232914577,NA
2911,NA,-5.476083234
3174.8,-3.195451123,NA
3668,NA,-10.99584633
4000,-21.57947867,NA
4622,NA,-39.46826824
5039.68,-28.97769294,NA
5823,NA,-59.45130796
6349.6,-58.66394984,NA
7336,NA,-80.61453822
8000,-81.00551086,NA
